id_mun,municipio_nome,id_gb,id_gbmar,gb_sigla,gb_nome,comando_sigla,comando_nome,endereco,numero,complemento,bairro,municipio,zona,cep,email,telefone_1,telefone_2
3500105,Adamantina,14,,14º GB,14º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Joaquim Constantino,351,,Vila Formosa,Presidente Prudente,,19053-300,14gbb3op@polmil.sp.gov.br,(18) 3223-2002,
3500204,Adolfo,13,,13º GB,13º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida dos Estudantes,1946,,Boa Vista,São José do Rio Preto,,15025-310,13gb@polmil.sp.gov.br,(17) 3222-2600,
3500303,Aguaí,16,,16º GB,16º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Américo Vespúcio,300,,Algodoal,Piracicaba,,13405-390,16gb@polmil.sp.gov.br,(19) 3421-3034,
3500402,Águas da Prata,16,,16º GB,16º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Américo Vespúcio,300,,Algodoal,Piracicaba,,13405-390,16gb@polmil.sp.gov.br,(19) 3421-3034,
3500501,Águas de Lindóia,19,,19º GB,19º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Rua Professor João Batista Curado,120,,Anhangabaú,Jundiaí,,13209-020,19gb@polmil.sp.gov.br,(11) 4521-2666,(11) 4521-2812
3500550,Águas de Santa Bárbara,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3500600,Águas de São Pedro,16,,16º GB,16º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Américo Vespúcio,300,,Algodoal,Piracicaba,,13405-390,16gb@polmil.sp.gov.br,(19) 3421-3034,
3500709,Agudos,12,,12º GB,12º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua General Marcondes Salgado,232,,Centro,Bauru,,17010-040,12gb@polmil.sp.gov.br,(14) 3222-5553,(14) 3222-7711
3500758,Alambari,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
3500808,Alfredo Marcondes,14,,14º GB,14º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Joaquim Constantino,351,,Vila Formosa,Presidente Prudente,,19053-300,14gbb3op@polmil.sp.gov.br,(18) 3223-2002,
3500907,Altair,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3501004,Altinópolis,9,,9º GB,9º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Avenida Cavalheiro Paschoal Innechi,1538,,Jardim Independência,Ribeirão Preto,,14076-010,9gb@polmil.sp.gov.br,(16) 3615-4476,(16) 3615-2600
3501103,Alto Alegre,20,,20º GB,20º Grupamento de Bombeiros,CBI-2,Comando de Bombeiros do Interior - Bauru,Rua Tenente Alcides Teodoro Santos,193,,Santana,Araçatuba,,16055-250,20gb@polmil.sp.gov.br,(18) 3623-3355,
3501152,Alumínio,15,,15º GB,15º Grupamento de Bombeiros,CBI-1,Comando de Bombeiros do Interior - Campinas,Avenida Dom Aguirre,2233,,Jardim Santa Rosália,Sorocaba,,18081-029,15gb@polmil.sp.gov.br,(15) 2101-0193,(15) 2201-0200
